questionLogID,questionID,difficulty,createdAt
"X'000FEDC6E86C459A9B8EC565FA06FC8C'","X'25877D0FB5464A9DAFA805CAA1D7DC73'",1.08,2024-04-02 18:50:41
"X'001093C9563B4DB99F24D5C5ED70B8FD'","X'184A15A1B7544EC1AD712FADF365CD27'",0.60,2024-04-07 21:09:42
"X'001D73DC8CA74855B405D6044960286A'","X'75ECD4EBC57A48ED91239DB3D01E1AD9'",0.70,2024-04-03 14:27:38
"X'0027BF7944CF4475A2FD83C7FAAA0B30'","X'471958D511AE46F0939E03B88C5CB2D5'",0.80,2024-04-07 01:45:16
"X'003AB7D0B62B40DBB02E5EF6A2601B7A'","X'825531ACB955492385B0D5EFB47C2691'",0.39,2024-04-03 19:20:28
"X'00481EDA41B54D8CBEBC464BAD5A3D18'","X'C85C4621113642F9A1E870E30BF7421C'",0.40,2024-04-06 19:29:50
"X'004A7B7E824947F6B370E1FA598DC6D8'","X'3513B9659627422AB25C32807A747B71'",0.43,2024-04-07 15:19:49
"X'004FC53409604341865619D3760F4095'","X'7B6695FF0A7F41838B862F9169DEAA14'",0.70,2024-04-05 13:17:02
"X'00563FD4704D4CD28E7CF03AFD5F1BFF'","X'8D93D36F8F614AADA812D50ECA0F8A9A'",3.06,2024-04-07 21:44:09
"X'0056E7A09EA34461A2F793DF56624680'","X'24922F314830467D89F69491DF05494F'",1.00,2024-04-05 18:26:08
"X'005833842ED74CCAB56FB3B4E91A8886'","X'E74698FE62614ABBB3427C4190F09C38'",0.30,2024-04-07 18:37:12
"X'006741ED800A43CB8D40094E4E4F5146'","X'F480DA863E004E98AEABCD41B7451D63'",0.30,2024-04-06 18:34:21
"X'00700B30CD814A3B8396673F67F0149D'","X'47C22DDE1D7B41EA81E19AFBF5908482'",0.84,2024-04-03 15:01:34
"X'0084BFBE46C44BD3BE1921D4B9444B87'","X'8E7D5707CE894AA99B4FA9553C16BFA4'",0.94,2024-04-09 08:17:12
"X'00877046D207453CB4CA497EB47933BA'","X'5FF67B58424F4B22B676FE9BFB49AA7E'",1.10,2024-04-08 21:20:39
"X'0087D9AED03E4A8FAF59037726D9E69F'","X'80D4CCCA5FA849F7BA6DD760286E6381'",0.80,2024-04-04 19:00:59
"X'00A8F2DF78A94E46B4877BA42FE0AB46'","X'C1DC386B2C6C4677A1D5A7C8393A1E19'",0.70,2024-04-07 16:13:14
"X'00ABA70A0918430798CB22764A820767'","X'E3E8AA7A4A674315BF28AD9FEA88DE86'",0.30,2024-04-07 13:26:24
"X'00AE4F704AF04D8CA0133EBEEA9B8D49'","X'336A94947D81462192F96131A2350484'",0.70,2024-04-07 01:37:42
"X'00AF1BB9ACED4D67B4AB38A3DAE211F4'","X'DAB0E556FFE34063B3052B87910FC7A7'",0.58,2024-04-01 10:51:59
"X'00C721BFC4EB4816A78EEE7B49B1C627'","X'3A5C691FC19648708AAABD88A114113C'",7.84,2024-04-08 20:44:01
"X'00D038C802604DF3BB392A607E6364BA'","X'295166A1B4D4446D9532DC44881E73C8'",0.39,2024-04-02 18:51:27
"X'00D065A929194C7E9C9A2B4133BAF571'","X'BA1D4B5355024B6B810EF08ADC8AF297'",0.30,2024-04-03 19:12:01
"X'00FE1EF7FE7740F986FAA4F869279566'","X'DD73D8250D9B4C5FB7F5A75382AD9DF7'",0.59,2024-04-08 20:09:44
"X'00FE9E451D6D4B0AA99AC035B1994EF3'","X'E508CBDE658D4D72928D6AE29528EE9F'",0.30,2024-04-08 20:30:12
"X'010EC31E3BA744109B1EE44C2CD8DEE8'","X'1C9E61CF2ABE480AADF3F73A94427801'",0.90,2024-04-08 10:15:33
"X'011490F633224FF298AC2847868B3094'","X'C3A50CD3D2904245BA0D3C59C44B8077'",0.50,2024-04-07 21:03:21
"X'01165185C4604DDC801EAD8F32AAD2F1'","X'EBA8F46D563640EEAFF50B6F16427171'",0.40,2024-04-03 12:48:32
"X'0119CE8E2DEA4279986EC224D642901C'","X'2C20DD2740E841BDA0E9027C825A9AAC'",0.66,2024-04-08 14:39:30
"X'012165CE0D9D41B686A580DBE0A03060'","X'B8935A78207244F89BDEA49EEBE12ECB'",2.68,2024-04-07 19:51:17
"X'012CBC862A8C4696BD27132373B4184B'","X'AB041521789146E4B1CDE19AEB722EC7'",3.22,2024-04-08 18:54:54
"X'01359CD6BFB34934BB38FB797C3E7530'","X'810EA2FE36AC4595B5A27A41DD0D71E7'",0.40,2024-04-03 15:04:37
"X'013FC81A4D304C519C0228A4175F87A1'","X'B5A48B478A434DF0A2FA1506FAC92873'",3.07,2024-04-08 16:49:58
"X'014041B725BC477AAE05D4C65D6E0C70'","X'D3D6CBDD969048C99520EC5C3F72B273'",0.70,2024-04-03 15:11:48
"X'01521015640D4E729F9CFB387A01380C'","X'99DA09CABFFE43D09D9FC92B9A46DB12'",0.56,2024-04-07 21:50:50
"X'0155FD6FE55F4DDDB4E4DB53452D1EDD'","X'6A727679554B44618DA3D98AF3DDF571'",0.50,2024-04-07 13:10:39
"X'0163F91E148B4970B4EF0B860B2AD1A6'","X'AD4891393839491EA3D053544D4900C8'",9.85,2024-04-09 13:04:19
"X'01676D13209F4B92BE08BF2A7787803B'","X'50F985D4D57245499576EAFE6BE605FD'",0.74,2024-04-07 22:30:30
