studentLogID,studentID,topicID,categoryID,difficultyOffset,createdAt
"X'0055C265DF1649C5A64BCBA0E07A5D04'","X'636A4AE595384810A33EFCB8D18A7CFF'","X'7F4746DF0A7041C1B72BC3FDF3B69F9A'","X'8C2B51FD6B3A4D7A8FC2B0A071055062'",-0.17,2024-04-09 08:19:07
"X'010FDDB67E4B46FE8B616FAE12D78CA9'","X'97C31825132040B4B59F025839450E77'","X'1B9D1CC8B6A54CD7AEB11C961B9300BB'","X'8C2B51FD6B3A4D7A8FC2B0A071055062'",-0.05,2024-04-13 13:11:44
"X'0133DC770CC54DABBEE2CEFC361780C3'","X'5AFEF49851B54BDFB1F132E1ED8CAAF3'","X'7F4746DF0A7041C1B72BC3FDF3B69F9A'","X'9CD2D9F7B6B746B6948B66EBB6B71486'",-0.06,2024-04-10 10:59:08
"X'01AECA775344428F8AD69F94E8E551A8'","X'636C4FCD8F234C4689AB159D74558F06'","X'7F4746DF0A7041C1B72BC3FDF3B69F9A'","X'1A1BBFFC6FEF44E1BBB98DC0726C2018'",-0.08,2024-04-08 20:50:07
"X'01F913889DB4429B86874474F2F2DAA8'","X'19615372C715430B9B3CD260353DE91F'","X'1B9D1CC8B6A54CD7AEB11C961B9300BB'","X'8C2B51FD6B3A4D7A8FC2B0A071055062'",-0.04,2024-04-10 17:41:34
"X'02F9515D959746CB91E3F6F4F51A7DDF'","X'636A4AE595384810A33EFCB8D18A7CFF'","X'E990EEBA5D434251A2CED1C43C294048'","X'C3122318A52B4221B00942A1AECBC657'",-0.08,2024-04-03 13:40:59
"X'050DBB56DEAA40DE93F77A9C6B4BD068'","X'19615372C715430B9B3CD260353DE91F'","X'7F4746DF0A7041C1B72BC3FDF3B69F9A'","X'417786202CD94EB89655C67365551278'",-0.26,2024-04-10 17:35:54
"X'05485AEBDB6541E3A07991CBF5D1333D'","X'69911C8964764B1CBCB046D46A293C91'","X'7F4746DF0A7041C1B72BC3FDF3B69F9A'","X'8EE7AE7D88B1405DA29123F10E8CDCAB'",-0.26,2024-04-05 18:15:24
"X'056D2082B7B444A7918586FC87FD18F9'","X'78D85F444FB64F24A31945F2675109D2'","X'AC2FB39A11DC4A7CB7831C5921A20E46'","X'9CD2D9F7B6B746B6948B66EBB6B71486'",-0.11,2024-04-08 23:38:12
"X'05860909081A4E3AA72AF89EAFCB2F77'","X'69911C8964764B1CBCB046D46A293C91'","X'7F4746DF0A7041C1B72BC3FDF3B69F9A'","X'417786202CD94EB89655C67365551278'",-0.74,2024-04-07 22:23:13
"X'06D86C5700D34F98A9666B9B75CB1D57'","X'5E66027D20DF4B638F65B5B8F6D05C60'","X'E990EEBA5D434251A2CED1C43C294048'","X'8EE7AE7D88B1405DA29123F10E8CDCAB'",0.00,2024-04-13 23:34:13
"X'06F52F7F1A9B40EA9C6CF604CBB8FCAC'","X'636C4FCD8F234C4689AB159D74558F06'","X'7F4746DF0A7041C1B72BC3FDF3B69F9A'","X'9CD2D9F7B6B746B6948B66EBB6B71486'",-0.37,2024-04-08 20:31:28
"X'084D062AAD3C4EA38128761A6BCE3119'","X'636A4AE595384810A33EFCB8D18A7CFF'","X'E990EEBA5D434251A2CED1C43C294048'","X'8EE7AE7D88B1405DA29123F10E8CDCAB'",-0.15,2024-04-03 13:36:37
"X'0997206AC2C44710B8766ABE93B3C87D'","X'69911C8964764B1CBCB046D46A293C91'","X'7F4746DF0A7041C1B72BC3FDF3B69F9A'","X'1A1BBFFC6FEF44E1BBB98DC0726C2018'",-0.02,2024-04-07 22:05:54
"X'09CB14C2654F4201B94106951EE6954C'","X'69911C8964764B1CBCB046D46A293C91'","X'7F4746DF0A7041C1B72BC3FDF3B69F9A'","X'1A1BBFFC6FEF44E1BBB98DC0726C2018'",-0.09,2024-04-05 18:15:24
"X'0AA2C08FA467486BB2A66C3E235659B7'","X'636C4FCD8F234C4689AB159D74558F06'","X'7F4746DF0A7041C1B72BC3FDF3B69F9A'","X'1A1BBFFC6FEF44E1BBB98DC0726C2018'",-0.21,2024-04-08 20:54:29
"X'0D933A0FD4DD4973B7219AF5F36AD277'","X'97C31825132040B4B59F025839450E77'","X'1B9D1CC8B6A54CD7AEB11C961B9300BB'","X'8EE7AE7D88B1405DA29123F10E8CDCAB'",-0.21,2024-04-13 13:13:08
"X'0DB1E0A065534AD7AD832E73CBD878BA'","X'5AFEF49851B54BDFB1F132E1ED8CAAF3'","X'7F4746DF0A7041C1B72BC3FDF3B69F9A'","X'1A1BBFFC6FEF44E1BBB98DC0726C2018'",-0.06,2024-04-10 10:59:08
"X'0E7E08856F4A47869D94648A31F361F0'","X'69911C8964764B1CBCB046D46A293C91'","X'E990EEBA5D434251A2CED1C43C294048'","X'1A1BBFFC6FEF44E1BBB98DC0726C2018'",-0.22,2024-04-08 16:50:15
"X'0ECA12FE91A946D4A990D64B30B25E04'","X'69911C8964764B1CBCB046D46A293C91'","X'E990EEBA5D434251A2CED1C43C294048'","X'417786202CD94EB89655C67365551278'",-0.07,2024-04-08 16:50:15
"X'0EF9750A070544D88D654604EBCE578F'","X'69911C8964764B1CBCB046D46A293C91'","X'E990EEBA5D434251A2CED1C43C294048'","X'8C2B51FD6B3A4D7A8FC2B0A071055062'",-0.13,2024-04-08 16:50:15
"X'0FD0775192BA43EAB6D088FCBF80ED7D'","X'636C4FCD8F234C4689AB159D74558F06'","X'7F4746DF0A7041C1B72BC3FDF3B69F9A'","X'C3122318A52B4221B00942A1AECBC657'",-0.32,2024-04-08 20:47:04
"X'11117D9F47CA4C43BECB9170234FFA04'","X'97C31825132040B4B59F025839450E77'","X'AC2FB39A11DC4A7CB7831C5921A20E46'","X'417786202CD94EB89655C67365551278'",-0.10,2024-04-13 13:09:42
"X'1183EFA2984849B28EC249BC5EB60442'","X'69911C8964764B1CBCB046D46A293C91'","X'7F4746DF0A7041C1B72BC3FDF3B69F9A'","X'417786202CD94EB89655C67365551278'",-1.33,2024-04-07 22:32:21
"X'11DD7BB676D2488591DBD680316C150C'","X'636A4AE595384810A33EFCB8D18A7CFF'","X'7F4746DF0A7041C1B72BC3FDF3B69F9A'","X'9CD2D9F7B6B746B6948B66EBB6B71486'",-0.26,2024-04-09 08:14:19
"X'1223C1CF48FD4B00825C5D2B7160D7ED'","X'5AFEF49851B54BDFB1F132E1ED8CAAF3'","X'AC2FB39A11DC4A7CB7831C5921A20E46'","X'417786202CD94EB89655C67365551278'",-0.02,2024-04-10 11:32:00
"X'138AB500DF354529A3F1E6B99EF73DFF'","X'97C31825132040B4B59F025839450E77'","X'7F4746DF0A7041C1B72BC3FDF3B69F9A'","X'9CD2D9F7B6B746B6948B66EBB6B71486'",0.17,2024-04-09 13:47:09
"X'1397FF7094CF47C797C56B923C11C9FC'","X'78D85F444FB64F24A31945F2675109D2'","X'1B9D1CC8B6A54CD7AEB11C961B9300BB'","X'8EE7AE7D88B1405DA29123F10E8CDCAB'",-0.34,2024-04-08 23:22:04
"X'13D84835845C461EA3FE9955769A87B1'","X'636A4AE595384810A33EFCB8D18A7CFF'","X'1B9D1CC8B6A54CD7AEB11C961B9300BB'","X'8C2B51FD6B3A4D7A8FC2B0A071055062'",-0.21,2024-04-03 12:40:21
"X'1488142105F54A9AB66A69553097F16C'","X'636C4FCD8F234C4689AB159D74558F06'","X'7F4746DF0A7041C1B72BC3FDF3B69F9A'","X'1A1BBFFC6FEF44E1BBB98DC0726C2018'",0.10,2024-04-08 20:31:28
"X'148B5F48A84949D486875DF3D43F699B'","X'97C31825132040B4B59F025839450E77'","X'1B9D1CC8B6A54CD7AEB11C961B9300BB'","X'1A1BBFFC6FEF44E1BBB98DC0726C2018'",-0.16,2024-04-13 13:11:44
"X'158C915B7B8F473FA6F14066CF02E1F7'","X'636C4FCD8F234C4689AB159D74558F06'","X'E990EEBA5D434251A2CED1C43C294048'","X'9CD2D9F7B6B746B6948B66EBB6B71486'",-0.28,2024-04-07 11:28:45
"X'183826432639486F8984E2220EFAFAC6'","X'97C31825132040B4B59F025839450E77'","X'7F4746DF0A7041C1B72BC3FDF3B69F9A'","X'8EE7AE7D88B1405DA29123F10E8CDCAB'",-0.30,2024-04-09 17:53:36
"X'1862CAB206A6455A956E35AF79F79CB7'","X'19615372C715430B9B3CD260353DE91F'","X'E990EEBA5D434251A2CED1C43C294048'","X'1A1BBFFC6FEF44E1BBB98DC0726C2018'",0.02,2024-04-02 10:31:09
"X'18876A18B8BC4E20AD80743F0F0C6AB8'","X'97C31825132040B4B59F025839450E77'","X'AC2FB39A11DC4A7CB7831C5921A20E46'","X'8C2B51FD6B3A4D7A8FC2B0A071055062'",-0.10,2024-04-13 13:09:42
"X'19AC3ECA1C5A4499B0BFBA09CC1BE822'","X'636A4AE595384810A33EFCB8D18A7CFF'","X'E990EEBA5D434251A2CED1C43C294048'","X'8C2B51FD6B3A4D7A8FC2B0A071055062'",-0.02,2024-04-03 13:29:24
"X'1B127486F61211EE8F82D92941CC39B9'","X'03F7799D5D5A4179B5434270C4C78CCD'","X'1B9D1CC8B6A54CD7AEB11C961B9300BB'","X'1A1BBFFC6FEF44E1BBB98DC0726C2018'",0.00,2024-04-08 18:40:11
"X'1B1274E4F61211EE8F82D92941CC39B9'","X'03F7799D5D5A4179B5434270C4C78CCD'","X'AC2FB39A11DC4A7CB7831C5921A20E46'","X'1A1BBFFC6FEF44E1BBB98DC0726C2018'",0.00,2024-04-08 18:40:11
"X'1B127540F61211EE8F82D92941CC39B9'","X'03F7799D5D5A4179B5434270C4C78CCD'","X'7F4746DF0A7041C1B72BC3FDF3B69F9A'","X'1A1BBFFC6FEF44E1BBB98DC0726C2018'",0.00,2024-04-08 18:40:11
"X'1B12759CF61211EE8F82D92941CC39B9'","X'03F7799D5D5A4179B5434270C4C78CCD'","X'E990EEBA5D434251A2CED1C43C294048'","X'1A1BBFFC6FEF44E1BBB98DC0726C2018'",0.00,2024-04-08 18:40:11
"X'1B1275F7F61211EE8F82D92941CC39B9'","X'03F7799D5D5A4179B5434270C4C78CCD'","X'1B9D1CC8B6A54CD7AEB11C961B9300BB'","X'417786202CD94EB89655C67365551278'",0.00,2024-04-08 18:40:11
"X'1B127651F61211EE8F82D92941CC39B9'","X'03F7799D5D5A4179B5434270C4C78CCD'","X'AC2FB39A11DC4A7CB7831C5921A20E46'","X'417786202CD94EB89655C67365551278'",0.00,2024-04-08 18:40:11
"X'1B1276ACF61211EE8F82D92941CC39B9'","X'03F7799D5D5A4179B5434270C4C78CCD'","X'7F4746DF0A7041C1B72BC3FDF3B69F9A'","X'417786202CD94EB89655C67365551278'",0.00,2024-04-08 18:40:11
"X'1B127709F61211EE8F82D92941CC39B9'","X'03F7799D5D5A4179B5434270C4C78CCD'","X'E990EEBA5D434251A2CED1C43C294048'","X'417786202CD94EB89655C67365551278'",0.00,2024-04-08 18:40:11
"X'1B127765F61211EE8F82D92941CC39B9'","X'03F7799D5D5A4179B5434270C4C78CCD'","X'1B9D1CC8B6A54CD7AEB11C961B9300BB'","X'8C2B51FD6B3A4D7A8FC2B0A071055062'",0.00,2024-04-08 18:40:11
"X'1B1277C0F61211EE8F82D92941CC39B9'","X'03F7799D5D5A4179B5434270C4C78CCD'","X'AC2FB39A11DC4A7CB7831C5921A20E46'","X'8C2B51FD6B3A4D7A8FC2B0A071055062'",0.00,2024-04-08 18:40:11
"X'1B12781BF61211EE8F82D92941CC39B9'","X'03F7799D5D5A4179B5434270C4C78CCD'","X'7F4746DF0A7041C1B72BC3FDF3B69F9A'","X'8C2B51FD6B3A4D7A8FC2B0A071055062'",0.00,2024-04-08 18:40:11
"X'1B127877F61211EE8F82D92941CC39B9'","X'03F7799D5D5A4179B5434270C4C78CCD'","X'E990EEBA5D434251A2CED1C43C294048'","X'8C2B51FD6B3A4D7A8FC2B0A071055062'",0.00,2024-04-08 18:40:11
